$JDAY,TDG%
1289,113.46
1290,112.86
1291,113.51
1292,113.86
1293,114.45
1294,114.26
1295,114.01
1296,114.22
1297,113.86
1298,113.63
1299,112.75
1300,113.01
1301,112
1302,111.34
1303,111.25
1304,110.67
1305,110.95
1306,110.77
1307,110.49
1308,110.36
1309,110.09
1310,110.01
1311,109.82
1312,110.67
1313,110.62
1314,110.08
1315,109.92
1316,109.5
1317,108.68
1318,108.06
1319,108.75
1320,108.79
1321,108.14
1322,107.35
1323,107.01
1324,106.82
1325,106.76
1326,107.08
1327,107.68
1328,106.94
1329,106.02
1330,105.26
1331,104.9
1332,104.8
1333,105.27
1334,105.03
1335,104.96
1336,104.75
1337,104.44
1338,104.58
1339,104.28
1340,104.38
1341,105.36
1342,103.93
1343,103.59
1344,103.51
1345,103.4
1346,104.28
1347,104.56
1348,103.76
1349,102.69
1350,102.06
1351,102.6
1352,102.12
1353,102.06
1354,102.5
1355,102.72
1356,103.08
1357,103.79
1358,102.43
1359,100.85
1360,101.11
1361,101.59
1362,101.4
1363,100.97
1364,100.95
1365,100.65
1366,100.3
1367,101.05
1368,101.66
1369,101.43
1370,100.25
1371,99.31
1372,98.94
1373,99.5
1374,99.52
1375,100.1
1376,100.13
1377,99.62
1378,99.19
1379,100.2
1380,99.9
1381,98.89
1382,99.82
1383,100.15
1384,100.2
1385,98.63
1386,98.96
1387,99.04
1388,99.17
1389,99.9
1390,99.67
1391,99.91
1392,99.23
1393,98.56
1394,99.98
1395,99.38
1396,98.36
1397,98.43
1398,98.01
1399,98.08
1400,98.64
1401,98.82
1402,98.09
1403,98.14
1404,97.98
1405,97.29
1406,98.01
1407,96.62
1408,96.79
1409,98.08
1410,97.16
1411,95.68
1412,95.74
1413,96.5
1414,96.49
1415,95.38
1416,94.69
1417,94.77
1418,95.97
1419,95.83
1420,95.94
1421,96.76
1422,96.91
1423,95.77
1424,95.23
1425,95.39
1426,95.76
1427,97.01
1428,98.56
1429,96.68
1430,94.57
1431,95.42
1432,95.15
1433,95.61
1434,95.57
1435,95.11
1436,95.29
1437,94.65
1438,95.04
1439,95.63
1440,97.02
1441,97.47
1442,96.6
1443,95.2
1444,94.62
1445,95.63
1446,95.24
1447,95.53
1448,95.46
1449,95.64
1450,96.25
1451,96.09
1452,94.73
1453,95.01
1454,96.45
1455,95.45
1456,94.81
1457,95.64
1458,95.78
1459,94.67
1460,93.63
1461,94.05
1462,94.85
1463,95.72
1464,95.22
1465,95.3
1466,95.54
1467,94.99
1468,95.15
1469,95.58
1470,96.32
1471,96.85
1472,96.54
1473,95.94
1474,95.49
1475,95.78
1476,96.59
1477,96.97
1478,97.1
1479,97.8
1480,96.83
1481,96.22
1482,96.26
1483,96.4
1484,96.25
1485,96.87
1486,97.17
1487,97.5
1488,97.47
1489,96.39
1490,96.22
1491,96.51
1492,96.95
1493,97.23
1494,97.98
1495,97.9
1496,97.83
1497,99.07
1498,100.1
1499,99.75
1500,98.83
1501,99.63
1502,98.57
1503,98.43
1504,98.64
1505,98.86
1506,99.11
1507,98.79
1508,98.89
1509,99.23
1510,99.55
1511,99.84
1512,100
1513,99.74
1514,99.24
1515,99.9
1516,100.33
1517,100.59
1518,101.46
1519,102.22
1520,101.5
1521,101.75
1522,102.45
1523,101.63
1524,101.32
1525,101.26
1526,101.31
1527,101.84
1528,102.38
1529,102.99
1530,103.89
1531,104.55
1532,103.88
1533,104.99
1534,107.06
1535,107.13
1536,105.93
1537,106.54
1538,106.36
1539,106.26
1540,106.56
1541,106.56
1542,106.11
1543,106.35
1544,105.59
1545,104.52
1546,104.25
1547,104.99
1548,104.89
1549,103.77
1550,104.32
1551,104.74
1552,103.46
1553,102.75
1554,103.1
1555,103.65
1556,104.28
1557,104.16
1558,103.71
1559,103.2
1560,103.79
1561,104.51
1562,104.85
1563,103.36
1564,103.96
1565,103.68
1566,102.22
1567,102.64
1568,103.48
1569,103.5
1570,103.91
1571,105.01
1572,105.64
1573,105.59
1574,106.1
1575,106.78
1576,106.52
1577,105.55
1578,105.73
1579,106.62
1580,105.88
1581,105.02
1582,106.18
1583,105.77
1584,105.09
1585,106.34
1586,106.33
1587,105.45
1588,105.8
1589,105.96
1590,105.38
1591,106.35
1592,106.59
1593,106.87
1594,106.75
1595,106.68
1596,106.69
1597,106.39
1598,105.72
1599,105.7
1600,105.99
1601,106.58
1602,106.89
1603,106.74
1604,106.31
1605,106.33
1606,106.18
1607,105.87
1608,105.4
1609,105.7
1610,105.93
1611,106
1612,105.97
1613,106.58
1614,106.2
1615,105.68
1616,105.9
1617,105.5
1618,105.67
1619,105.99
1620,106.54
1621,106.34
1622,106.61
1623,106.08
1624,105.72
1625,105.11
1626,105.4
1627,106.26
1628,106.09
1629,106.57
1630,106.21
1631,105.72
1632,105.61
1633,106.12
1634,105.95
1635,105.88
1636,106.02
1637,105.79
1638,106.19
1639,106.27
1640,106.54
1641,106.55
1642,106.33
1643,106.39
1644,106.49
1645,107.23
1646,107.18
1647,106.68
1648,106.45
1649,107.19
1650,107.31
1651,107.98
1652,107.74
1653,107.35
1654,107.11
1655,107.11
1656,106.66
1657,106.56
1658,106.12
1659,106.28
1660,106.38
1661,106.35
1662,106.78
1663,106.62
1664,107.07
1665,106.7
1666,106.23
1667,105.71
1668,106.15
1669,106.2
1670,105.72
1671,105.72
1672,105.29
1673,105.56
1674,105.98
1675,106.16
1676,106.58
1677,106.05
1678,105.62
1679,105.41
1680,105.82
1681,105.8
1682,105.51
1683,105.36
1684,104.95
1685,105.1
1686,105.28
1687,105.55
1688,104.89
1689,104.43
1690,104.43
1691,104.25
1692,104.57
1693,104.79
1694,104.39
1695,102.98
1696,103.19
1697,102.97
1698,102.57
1699,102.69
1700,102.8
1701,103.18
1702,104.09
1703,103.66
1704,103.06
1705,103.33
1706,104.08
1707,103.22
1708,103.41
1709,103.56
1710,102.62
1711,102.36
1712,102.3
1713,102.04
1714,101.46
1715,101.75
1716,101.9
1717,102.62
1718,102.58
1719,102.25
1720,101.65
1721,100.92
1722,100.42
1723,100.57
1724,101.23
1725,100.2
1726,99.97
1727,99.65
1728,99.55
1729,100.26
1730,100.59
1731,99.58
1732,99.5
1733,99.42
1734,99.66
1735,99.71
1736,100.12
1737,100.1
1738,100.07
1739,99.4
1740,99.17
1741,99.39
1742,99.19
1743,99.69
1744,101.06
1745,100.01
1746,99.62
1747,99.16
1748,98.84
1749,98.46
1750,98.4
1751,99.32
1752,99.64
1753,99.65
1754,98.66
1755,98.5
1756,98.42
1757,98.13
1758,98.51
1759,99.44
1760,99.11
1761,98.41
1762,98.56
1763,98.76
1764,99.61
1765,100.24
1766,100.22
1767,99
1768,98.25
1769,97.48
1770,97.62
1771,96.68
1772,97.44
1773,98.15
1774,97.47
1775,96.64
1776,96.88
1777,96.27
1778,98.12
1779,98.25
1780,98.87
1781,96.45
1782,97.85
1783,96.55
1784,96.41
1785,95.11
1786,95
1787,95.59
1788,96.49
1789,96.32
1790,95.63
1791,94.93
1792,94.73
1793,94.94
1794,95.29
1795,94.95
1796,94.55
1797,94.93
1798,96.31
1799,95.93
1800,95.25
1801,96.14
1802,96.45
1803,96.79
1804,97.11
1805,97.74
1806,96.77
1807,97.12
1808,97.78
1809,96.13
1810,95.17
1811,95.09
1812,95.68
1813,96.28
1814,95.99
1815,96.46
1816,97.47
1817,97.67
1818,97.67
1819,97.22
1820,95.86
1821,94.63
1822,95.6
1823,96.4
1824,95.15
1825,94.17
1826,93.16
1827,93.54
