                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
    115,     56.000,   476.362,   129.000,     0.286,   415.614,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    116,     44.000,   164.339,   106.000,     1.682,   773.681,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    117,     53.000,   239.164,   107.000,     1.685,   786.228,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    118,     52.000,   145.357,   106.000,     0.588,   767.521,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    119,     43.000,   490.680,   107.000,     0.065,   803.940,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    120,     44.000,   164.789,   106.000,     1.309,  1156.653,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    121,     62.000,    51.839,   115.000,     1.405,   780.003,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    122,     53.000,   463.345,   108.000,     0.900,   822.381,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    123,     52.000,   289.936,   135.000,     1.231,   296.334,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    124,     50.000,   209.130,   147.000,     0.046,   318.182,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    125,     57.000,    26.086,   161.000,     0.709,    87.521,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    126,     53.000,     4.051,   150.000,     0.237,   190.788,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    127,     51.000,   446.475,   144.000,     0.061,   171.920,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    128,     50.000,   266.843,   146.000,     1.125,   288.756,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    129,     52.000,   344.078,   150.000,     1.249,   121.895,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    130,     52.000,   312.156,   131.000,     1.902,   383.467,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    131,     50.000,   184.093,   139.000,     1.682,   403.732,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    132,     59.000,   490.351,   146.000,     0.572,   365.515,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    133,     50.000,   496.722,   140.000,     0.886,   346.102,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    134,     51.000,   401.034,   152.000,     0.547,   230.613,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    135,     52.000,    83.581,   147.000,     0.970,   241.824,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    136,     50.000,   369.366,   147.000,     1.630,   367.649,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    137,     53.000,   361.050,   149.000,     0.204,   106.707,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    138,     50.000,   347.999,   143.000,     0.897,   255.457,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    139,     52.000,   186.471,   151.000,     0.649,     7.008,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    140,     53.000,   134.336,   156.000,     0.514,   150.748,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    141,     51.000,   381.528,   158.000,     1.967,   192.431,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    142,     50.000,   370.562,   143.000,     0.867,   325.839,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    143,     55.000,   207.166,   157.000,     1.495,    30.081,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    144,     51.000,    27.141,   148.000,     0.363,   286.841,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    145,     54.000,   202.748,   159.000,     1.382,   113.314,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    146,     52.000,   163.352,   157.000,     1.517,   212.443,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    147,     49.000,   285.928,   144.000,     0.125,   234.311,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    148,     50.000,   324.419,   146.000,     0.589,   242.743,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    149,     51.000,    62.834,   153.000,     0.393,   242.148,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    150,     55.000,   412.367,   162.000,     0.115,    99.328,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    151,     53.000,   281.334,   161.000,     0.252,   197.121,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    152,     52.000,   487.786,   161.000,     0.562,   218.196,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    153,     52.000,   275.590,   157.000,     1.751,   233.759,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    154,     58.000,    93.743,   168.000,     0.462,   124.819,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    155,     51.000,   338.503,   125.000,     0.152,   269.818,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    156,     51.000,   318.775,   153.000,     0.619,   207.185,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    157,     52.000,   401.481,   150.000,     0.376,    47.531,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    158,     53.000,    11.472,   149.000,     0.576,   143.236,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    159,     53.000,    14.304,   160.000,     0.995,   171.752,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    160,     53.000,   216.861,   156.000,     1.095,    87.463,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    161,     53.000,   393.400,   161.000,     1.450,   163.450,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    162,     53.000,   174.160,   159.000,     1.944,   171.228,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    163,     51.000,   187.633,   152.000,     0.816,   247.732,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    164,     51.000,   281.982,   155.000,     1.089,   231.817,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    165,     55.000,   139.691,   158.000,     0.849,    20.120,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    166,     52.000,   107.546,   157.000,     0.916,   202.937,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    167,     52.000,   222.865,   158.000,     0.799,   197.177,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    168,     49.000,   259.627,   132.000,     0.129,   253.244,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    169,     53.000,    10.329,   155.000,     0.455,   132.545,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    170,     52.000,   129.896,   156.000,     1.384,   161.119,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    171,     53.000,   120.641,   160.000,     0.459,   205.689,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    172,     53.000,   346.161,   155.000,     0.537,    75.809,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    173,     51.000,   471.898,   154.000,     0.243,   239.547,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    174,     49.000,   249.707,   146.000,     0.528,   301.025,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    175,     52.000,   442.725,   125.000,     1.172,   237.054,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    176,     49.000,   349.789,   144.000,     0.830,   351.611,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    177,     51.000,   298.531,   153.000,     1.988,   203.351,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    178,     50.000,   403.147,   121.000,     1.257,   104.532,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    179,     51.000,   206.916,   157.000,     1.948,   183.634,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    180,     51.000,   218.287,   150.000,     1.399,   218.863,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    181,     52.000,   287.614,   157.000,     1.770,   257.355,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    182,     57.000,   158.193,   167.000,     0.584,    22.268,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    183,     50.000,   165.810,   128.000,     0.066,   291.188,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    184,     49.000,    30.964,   133.000,     1.399,   247.279,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    185,     51.000,    67.525,   120.000,     1.750,   289.926,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    186,     50.000,   339.825,   123.000,     0.710,   325.513,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    187,     50.000,    94.683,   129.000,     1.302,   289.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    188,     52.000,   346.485,   153.000,     0.871,   153.707,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    189,     50.000,   392.814,   122.000,     1.624,   313.451,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    190,     51.000,   128.330,   121.000,     0.915,   267.591,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    191,     54.000,   146.902,   158.000,     1.625,   160.609,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    192,     51.000,   296.445,   151.000,     0.810,   206.176,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    193,     50.000,   430.918,   124.000,     0.686,   318.656,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    194,     50.000,   375.489,   145.000,     0.108,   286.070,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    195,     51.000,    35.055,   148.000,     1.234,   248.187,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    196,     51.000,   233.068,   123.000,     0.501,   334.899,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    197,     51.000,   167.047,   121.000,     0.826,   359.699,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    198,     51.000,   237.403,   120.000,     1.545,   323.738,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    199,     50.000,   224.661,   128.000,     1.375,   370.662,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    200,     52.000,   211.150,   124.000,     1.662,   235.129,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    201,     53.000,    34.341,   119.000,     1.012,   207.953,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    202,     51.000,    17.565,   123.000,     1.082,   373.683,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    203,     51.000,    15.088,   149.000,     1.855,   225.837,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    204,     50.000,   217.877,   125.000,     1.543,   293.165,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
