                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
 40646.000,   1,  0.31567788E+11,   0.00000000E+00,  -0.31916174E+11,   0.00000000E+00,   0.00000000E+00,   0.36397942E+09,   0.00000000E+00,   0.00000000E+00,   0.24798700E-07,
 40647.000,   1,  0.31924391E+11,   0.00000000E+00,  -0.32281226E+11,   0.00000000E+00,   0.00000000E+00,   0.37915763E+09,   0.00000000E+00,   0.00000000E+00,   0.17612220E-07,
 40648.000,   1,  0.32287823E+11,   0.00000000E+00,  -0.32647393E+11,   0.00000000E+00,   0.00000000E+00,   0.38098482E+09,   0.00000000E+00,   0.00000000E+00,   0.18045384E-07,
 40649.000,   1,  0.32651237E+11,   0.00000000E+00,  -0.33023112E+11,   0.00000000E+00,   0.00000000E+00,   0.38341414E+09,   0.00000000E+00,   0.00000000E+00,   0.30370020E-07,
 40650.000,   1,  0.33004476E+11,   0.00000000E+00,  -0.33360898E+11,   0.00000000E+00,   0.00000000E+00,   0.36540783E+09,   0.00000000E+00,   0.00000000E+00,   0.35390842E-07,
 40651.000,   1,  0.33345303E+11,   0.00000000E+00,  -0.33679102E+11,   0.00000000E+00,   0.00000000E+00,   0.35061315E+09,   0.00000000E+00,   0.00000000E+00,   0.16494322E-07,
 40652.000,   1,  0.33661433E+11,   0.00000000E+00,  -0.34001362E+11,   0.00000000E+00,   0.00000000E+00,   0.36377310E+09,   0.00000000E+00,   0.00000000E+00,   0.11984053E-07,
 40653.000,   1,  0.33958913E+11,   0.00000000E+00,  -0.34324000E+11,   0.00000000E+00,   0.00000000E+00,   0.39098657E+09,   0.00000000E+00,   0.00000000E+00,   0.10384177E-07,
 40654.000,   1,  0.34270636E+11,   0.00000000E+00,  -0.34662100E+11,   0.00000000E+00,   0.00000000E+00,   0.41468443E+09,   0.00000000E+00,   0.00000000E+00,   0.99650247E-08,
 40655.000,   1,  0.34612026E+11,   0.00000000E+00,  -0.35010675E+11,   0.00000000E+00,   0.00000000E+00,   0.41559481E+09,   0.00000000E+00,   0.00000000E+00,   0.15213648E-07,
 40656.000,   1,  0.34961476E+11,   0.00000000E+00,  -0.35369254E+11,   0.00000000E+00,   0.00000000E+00,   0.42412858E+09,   0.00000000E+00,   0.00000000E+00,   0.14516612E-07,
 40657.000,   1,  0.35309109E+11,   0.00000000E+00,  -0.35724877E+11,   0.00000000E+00,   0.00000000E+00,   0.43156662E+09,   0.00000000E+00,   0.00000000E+00,   0.61190163E-08,
 40658.000,   1,  0.35655429E+11,   0.00000000E+00,  -0.36067480E+11,   0.00000000E+00,   0.00000000E+00,   0.42254683E+09,   0.00000000E+00,   0.00000000E+00,   0.58045824E-08,
 40659.000,   1,  0.35986685E+11,   0.00000000E+00,  -0.36401525E+11,   0.00000000E+00,   0.00000000E+00,   0.42557893E+09,   0.00000000E+00,   0.00000000E+00,  -0.11872905E-08,
 40660.000,   1,  0.36315694E+11,   0.00000000E+00,  -0.36740437E+11,   0.00000000E+00,   0.00000000E+00,   0.43822352E+09,   0.00000000E+00,   0.00000000E+00,  -0.35445454E-08,
 40661.000,   1,  0.36647603E+11,   0.00000000E+00,  -0.37067959E+11,   0.00000000E+00,   0.00000000E+00,   0.43591709E+09,   0.00000000E+00,   0.00000000E+00,  -0.24419380E-11,
