$TDA Elev-Tailwater CBT-REV [m=>ft NAVD88],,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
41046,85.55118374,
41047,86.06955646,
41048,88.2710001,
41049,88.47113134,
41050,87.02100006,
41051,86.9914725,
41052,86.79134126,
41053,86.9422599,
41054,87.82152502,
41055,87.41142002,
41056,87.11942526,
41057,85.51181366,
41058,85.19029134,
41059,84.32086874,
41060,85.2198189,
41061,83.63189234,
41062,83.82218106,
41063,83.42191858,
41064,84.19947766,
41065,84.36023882,
41066,84.1699501,
41067,85.10170866,
41068,85.83989766,
41069,86.27953022,
41070,86.0892415,
41071,86.11220738,
41072,85.83005514,
41073,86.25984518,
41074,86.31233862,
41075,86.1220499,
41076,86.74212866,
41077,84.47178738,
41078,85.1213937,
41079,85.41010762,
41080,86.88976646,
41081,86.5321549,
41082,86.73228614,
41083,86.15157746,
41084,87.0898977,
41085,86.1220499,
41086,88.3694253,
41087,87.64107882,
41088,89.11089514,
41089,87.37204994,
41090,87.05052762,
41091,87.53937278,
41092,88.29068514,
41093,87.21128878,
41094,86.8110263,
41095,86.14173494,
41096,87.59186622,
41097,87.2211313,
41098,85.50197114,
41099,85.29199738,
41100,86.57152498,
41101,86.39107878,
41102,86.33202366,
41103,85.42979266,
41104,85.54134122,
41105,85.36089502,
41106,84.36023882,
41107,85.98097378,
41108,85.02953018,
41109,83.93044878,
41110,83.67126242,
41111,84.2519711,
41112,85.47244358,
41113,85.31168242,
41114,84.88189238,
41115,84.19947766,
41116,83.75000258,
41117,84.5800551,
41118,83.99934642,
